French,English
tiens,here
cause,cause
pensais,thought
étaient,were
demandé,request
eau,water
aucune,any
mettre,to put
dont,whose
donne,given
jouer,to play
chaque,each
sois,be
police,police
devant,in front of
chérie,sweetheart
leurs,their
parle,speak
seulement,only
compris,understood
enfant,child
arrivé,come
savais,knew
aura,will have
pouvoir,power
gros,large
place,square
pourrais,could
eux,them
aide,help
perdu,lost
donné,given
matin,morning
laisse,leash
partie,part
bébé,baby
venez,come
venu,came
pendant,while
nouvelle,new
revoir,meet again
façon,way
attention,Warning
demande,request
parti,left
train,train
type,type
plutôt,rather
mari,husband
chercher,search
laisser,let
premier,first
main,hand
aimerais,would like to
attendez,Wait
heures,hours
fin,end
vont,will
bureau,office
côté,side
belle,beautiful
yeux,eyes
compte,account
chambre,bedroom
longtemps,long time
tellement,so much
aucun,no
trouve,find
vers,towards
écoute,listen
terre,Earth
donner,give
point,point
droit,law
affaire,case
frère,brother
enfin,finally
suite,after
ville,city
genre,kind
mis,placed
car,because
pardon,sorry
